127.0.0.1 - - [16/May/2023:08:36:37 +0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:37 +0500] "GET /Melosphere/WelcomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:37 +0500] "GET /Melosphere/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:38 +0500] "GET /Melosphere/resources/headphones.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:38 +0500] "GET /resources/favicon-32x32.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:38 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:38 +0500] "GET /resources/favicon-16x16.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:41 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:41 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:41 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:53 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=123 HTTP/1.1" 200 20518
0:0:0:0:0:0:0:1 - - [16/May/2023:08:36:53 +0500] "GET /Melosphere/resources/site.webmanifest HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:08:38:32 +0500] "GET /Melosphere/ListenerLogOut.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:08:38:33 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:37 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:37 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:40 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:40 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:51 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=123 HTTP/1.1" 200 20595
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:55 +0500] "GET /Melosphere/ListenerProfileDummay.jsp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [16/May/2023:09:56:55 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:09:57:10 +0500] "POST /Melosphere/ListenerArtistViewDummy.jsp HTTP/1.1" 200 17177
0:0:0:0:0:0:0:1 - - [16/May/2023:09:57:13 +0500] "GET /Melosphere/ListenerGetFollowingArtistDummy.jsp HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [16/May/2023:09:57:16 +0500] "POST /Melosphere/ListenerArtistViewDummy.jsp HTTP/1.1" 200 10057
0:0:0:0:0:0:0:1 - - [16/May/2023:09:57:22 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:01:56 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:01:56 +0500] "GET /resources/favicon-32x32.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2023:10:01:56 +0500] "GET /resources/favicon-16x16.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [16/May/2023:10:02:14 +0500] "GET /Melosphere/ListenerLogIn.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [16/May/2023:10:02:14 +0500] "GET /resources/site.webmanifest HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [16/May/2023:10:02:22 +0500] "GET /Melosphere/ListenerLogInServlet?LEmail=nifra%40yahoo.com&LName=nifra&LPassword=123 HTTP/1.1" 200 20532
0:0:0:0:0:0:0:1 - - [16/May/2023:10:03:37 +0500] "GET /Melosphere/ListenerPlaySongFileServlet?SongName=Die%20For%20You HTTP/1.1" 200 1562816
